"path","extension","bytes","runtime_exists","identical"
"animals\beef_cow.png",".png","471198","True","True"
"animals\dairy_cow.png",".png","424270","True","True"
"animals\layer_chicken.png",".png","153039","True","True"
"animals\meat_chicken.png",".png","183127","True","True"
"animals\pig.png",".png","293698","True","True"
"aquaculture\crab.png",".png","351689","True","True"
"aquaculture\fish.png",".png","409386","True","True"
"aquaculture\octopus.png",".png","470691","True","True"
"aquaculture\shrimp.png",".png","295172","True","True"
"aquaculture\squid.png",".png","296693","True","True"
"characters\animal_worker.png",".png","1074853","True","True"
"characters\aquaculture_worker.png",".png","1031604","True","True"
"characters\chef.png",".png","959546","True","True"
"characters\customer.png",".png","1779362","True","True"
"characters\farm_worker.png",".png","1051909","True","True"
"characters\player.png",".png","962185","True","True"
"characters\vip_customer.png",".png","1754020","True","True"
"characters\waiter.png",".png","1612611","True","True"
"manifests\animal_manifest.json",".json","520","True","True"
"manifests\aquaculture_manifest.json",".json","546","True","True"
"manifests\artwork_integrity_fix_report.json",".json","1069","True","True"
"manifests\asset_manifest.json",".json","2612","True","True"
"manifests\atlas_manifest.json",".json","1246","True","True"
"manifests\character_manifest.json",".json","586","True","True"
"manifests\crop_manifest.json",".json","4546","True","True"
"manifests\dish_manifest.json",".json","7093","True","True"
"manifests\ui_manifest.json",".json","17800","True","True"
"manifests\validation_report.json",".json","2417","True","True"
"manifests\vehicle_manifest.json",".json","838","True","True"
"manifests\world_manifest.json",".json","2092","True","True"
"manifests\atlases\achievement_badges_and_emblems_sheet.json",".json","3627","True","True"
"manifests\atlases\building_purchase_upgrade_construction_kit.json",".json","2936","True","True"
"manifests\atlases\directional_signs_kit.json",".json","1416","True","True"
"manifests\atlases\farm_warehouse_utility_props_atlas.json",".json","2686","True","True"
"manifests\atlases\frame_and_button_base_kit.json",".json","4930","True","True"
"manifests\atlases\logistics_props_atlas.json",".json","4025","True","True"
"manifests\atlases\map_zone_expansion_visual_kit.json",".json","3523","True","True"
"manifests\atlases\natural_props_atlas.json",".json","1710","True","True"
"manifests\atlases\outdoor_dining_set_atlas.json",".json","841","True","True"
"manifests\atlases\restaurant_kitchen_cooking_station_module_set.json",".json","2161","True","True"
"manifests\atlases\road_tiles_kit.json",".json","1497","True","True"
"manifests\atlases\tutorial_help_shortcut_visual_kit.json",".json","5096","True","True"
"manifests\atlases\world_interaction_production_markers_sheet.json",".json","4266","True","True"
"ui\customer_indicators\cooking_preparing_order_indicator.png",".png","82086","True","True"
"ui\customer_indicators\customer_waiting_too_long_warning_indicator.png",".png","64344","True","True"
